2026-01-29 15:17:03 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:17:03 | INFO     | app.api.auth:register:106 - 新用户注册成功: flowuser
2026-01-29 15:17:04 | INFO     | app.api.auth:login:57 - 用户登录成功: flowuser
2026-01-29 15:17:04 | INFO     | app.api.auth:register:106 - 新用户注册成功: quickuser
2026-01-29 15:17:04 | INFO     | app.api.auth:login:57 - 用户登录成功: quickuser
2026-01-29 15:17:04 | INFO     | app.services.goal_service:create_goal:49 - 创建目标成功: 1, 用户: 1
2026-01-29 15:17:14 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:17:14 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:17:14 | INFO     | app.services.goal_service:create_goal:49 - 创建目标成功: 1, 用户: 1
2026-01-29 15:17:21 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:17:21 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:17:21 | INFO     | app.services.goal_service:create_goal:49 - 创建目标成功: 1, 用户: 1
2026-01-29 15:20:32 | INFO     | app.utils.llm_operator:__init__:81 - LLMOperator 初始化成功，模型: qwen3_32b_awq, API 类型: openai
2026-01-29 15:20:32 | INFO     | app.services.ai_service:__init__:100 - AI 服务初始化成功，模型: qwen3_32b_awq
2026-01-29 15:20:32 | INFO     | app.api.auth:register:106 - 新用户注册成功: flowuser
2026-01-29 15:20:32 | INFO     | app.api.auth:login:57 - 用户登录成功: flowuser
2026-01-29 15:20:32 | INFO     | app.api.auth:register:106 - 新用户注册成功: quickuser
2026-01-29 15:20:33 | INFO     | app.api.auth:login:57 - 用户登录成功: quickuser
2026-01-29 15:20:33 | INFO     | app.services.goal_service:create_goal:49 - 创建目标成功: 1, 用户: 1
